"Facility_hydroid","Facility","Use_Type","Locality","FIPS_code","dh_geofield"
73015,"NOAH TURNER LANDSCAPING INC - Elkton","irrigation","Rockingham",51165,"POINT (-78.490168 38.58384)"
73016,"WESTMORELAND BERRY FARM","irrigation","Westmoreland",51193,"POINT (-99 -99)"
73017,"ALTRIA HEADQUARTERS","commercial","Henrico",51087,"POINT (-77.51729 37.600246)"
73018,"COLD SPRING CORRECTIONAL UNIT","commercial","Augusta",51015,"POINT (-79.151388888889 37.991666666667)"
73019,"WILLIAM G YEOMAN III","irrigation","Isle of Wight",51093,"POINT (-99 -99)"
73020,"RADFORD AMMUNITIONS WTP 2","manufacturing","Montgomery",51121,"POINT (-80.567777777778 37.192777777778)"
73021,"NICKELSVILLE SERVICE AREA","municipal","Scott",51169,"POINT (-82.418055555556 36.750833333333)"
73022,"BARNETT'S GREENHOUSE","irrigation","Madison",51113,"POINT (-99 -99)"
73024,"Spring Creek Golf Club","commercial","Louisa",51109,"POINT (-78.209 38.007)"
73025,"HILLCREST SERVICE AREA","municipal","Bedford County",51019,"POINT (-79.578611111111 37.334444444444)"
73026,"EAGLE HAVEN GOLF COURSE","commercial","Norfolk",51710,"POINT (-76.15 36.920833333333)"
73027,"Renwood @ Curles Neck","irrigation","Charles City",51036,"POINT (-76.951752 37.246276)"
73028,"Rhodesland Plantation","irrigation","Orange",51137,"POINT (-78.238611111111 38.230555555556)"
73029,"LAKE PRINCE PUMPING STATION","municipal","Suffolk",51800,"POINT (-76.623611111111 36.805555555556)"
73030,"NOTTOWAY RIVER COUNTRY CLUB","commercial","Nottoway",51135,"POINT (-77.940277777778 37.063888888889)"
73032,"RICHMOND (CITY) WTP","municipal","Richmond City",51760,"POINT (-77.486666666667 37.545277777778)"
73033,"MEADOW STUD FARM","municipal","Hanover",51085,"POINT (-77.426944444444 37.840277777778)"
73034,"THOMAS WHEATON","irrigation","Nelson",51125,"POINT (-78.9966888 37.7795599)"
73035,"CAMP HIGHROAD RETREAT","commercial","Loudoun",51107,"POINT (-77.681388888889 39.035833333333)"
73036,"Homestead Water Company-VA Hot Springs","municipal","Bath",51017,"POINT (-79.830555555556 37.997222222222)"
73037,"WOODBRIDGE PLANT","manufacturing","Prince William",51153,"POINT (-77.243611111111 38.666666666667)"
73038,"BUNDICK FARM","irrigation","Accomack",51001,"POINT (-75.8803741 37.5416899)"
73039,"CENTRAL VIRGINIA CORRECTIONAL UNIT 13","commercial","Chesterfield",51041,"POINT (-77.562222222222 37.403055555556)"
73040,"LCWA-Zion Crossroads","municipal","Louisa",51109,"POINT (-78.199065 37.973422)"
73042,"MECKLENBURG POWER STATION","fossilpower","Mecklenburg",51117,"POINT (-78.525833333333 36.599444444444)"
73043,"TOWNWOOD PARK","municipal","Albemarle",51003,"POINT (-78.488888888889 38.080555555556)"
73044,"FARMINGTON COUNTRY CLUB","commercial","Albemarle",51003,"POINT (-78.541666666667 38.054166666667)"
73045,"COURTHOUSE PARK","irrigation","Hanover",51085,"POINT (-77.385555555556 37.676944444444)"
73046,"GLOUCESTER POINT SERVICE AREA","municipal","Gloucester",51073,"POINT (-76.5125 37.311388888889)"
73047,"ANDRE VIETTE FARM AND NURSERY","irrigation","Augusta",51015,"POINT (-78.9489583 38.1273214)"
73049,"Gordonsville Power Station","fossilpower","Louisa",51109,"POINT (-78.229372 38.073753)"
73050,"EAGLE ROCK ","municipal","Botetourt",51023,"POINT (-79.799166666667 37.640833333333)"
73052,"COE FARM","irrigation","Petersburg",51730,"POINT (-77.524678 37.14971)"
73054,"ROSCOE O MARTIN","irrigation","Roanoke County",51161,"POINT (-99 -99)"
73056,"SOUTH RIVER FARM, LLC.","irrigation","Augusta",51015,"POINT (-78.8258584 38.2673516)"
73057,"Nock Farm","irrigation","Accomack",51001,"POINT (-99 -99)"
73058,"Laurel Hill Trout Farm- North Monterey","agriculture","Highland",51091,"POINT (-79.517222222222 38.468611111111)"
73063,"KEY WEST SERVICE AREA","municipal","Albemarle",51003,"POINT (-78.441666666667 38.058333333333)"
73065,"JAMES E WENGER","irrigation","Augusta",51015,"POINT (-99 -99)"
73066,"TROUTDALE","municipal","Grayson",51077,"POINT (-99 -99)"
73067,"PLANK ROAD FARM","irrigation","Southampton",51175,"POINT (-77.128888888889 36.798055555556)"
73068,"HIGHLAND SPRINGS GOLF COURSE","commercial","Henrico",51087,"POINT (-77.327777777778 37.558333333333)"
73069,"MAYFLOWER PREPARATION PLANT","mining","Lee",51105,"POINT (-83.075 36.827777777778)"
73070,"I-64 C'Ville East","municipal","Albemarle",51003,"POINT (-78.767117 38.045539)"
73072,"TIMBER RIDGE FRUIT FARM","irrigation","Frederick",51069,"POINT (-99 -99)"
73073,"RADFORD AMMUNITIONS WTP 1","manufacturing","Montgomery",51121,"POINT (-80.559722222222 37.1825)"
73074,"HAMILTON'S CROSSING PLANT","manufacturing","Spotsylvania",51177,"POINT (-77.437777777778 38.240277777778)"
73075,"WILDERNESS SERVICE AREA","municipal","Orange",51137,"POINT (-77.752777777778 38.352222222222)"
73076,"BROADWAY PLANT COMPLEX","manufacturing","Rockingham",51165,"POINT (-78.783333333333 38.630555555556)"
73078,"GARY AND RHONDA GUTHRIE","irrigation","Halifax",51083,"POINT (-79.039074 37.012493)"
73082,"NEWPOST SAND & GRAVEL REDI-MIX","mining","Spotsylvania",51177,"POINT (-77.410555555556 38.248055555556)"
73083,"APPOMATTOX PLANT","manufacturing","Appomattox",51011,"POINT (-78.836666666667 37.359166666667)"
73084,"RYE VALLEY SERVICE AREA","municipal","Smyth",51173,"POINT (-81.426388888889 36.775555555556)"
73085,"BLAND SERVICE AREA","municipal","Bland",51021,"POINT (-81.113888888889 37.103333333333)"
73090,"SOUTH BOSTON QUARRY","mining","Halifax",51083,"POINT (-78.846944444444 36.747222222222)"
73091,"WEST NURSERY","irrigation","Hanover",51085,"POINT (-99 -99)"
73092,"MESSER LANDSCAPE INC","irrigation","Augusta",51015,"POINT (-99 -99)"
73093,"LEESBURG WTP","municipal","Loudoun",51107,"POINT (-77.504166666667 39.115277777778)"
73094,"Dogwood Trace Golf Course (formerly LEE PARK GOLF COURSE)","commercial","Petersburg",51730,"POINT (-77.395833333333 37.190277777778)"
73095,"DANVILLE MAIN WTP","municipal","Danville",51590,"POINT (-79.428333333333 36.578888888889)"
73096,"PARK 500","manufacturing","Chesterfield",51041,"POINT (-77.283333333333 37.341666666667)"
73097,"NI RIVER WTP","municipal","Spotsylvania",51177,"POINT (-77.599166666667 38.246666666667)"
73098,"STERLING PLANT","manufacturing","Loudoun",51107,"POINT (-77.448055555556 38.984166666667)"
73103,"KEVIN WHITE","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73107,"OWL'S CREEK GOLF COURSE","commercial","Virginia Beach",51810,"POINT (-75.998601 36.82769)"
73109,"DAL-NITA HILLS, KESWICK FARMS & TINKERVIEW GRDNS","municipal","Botetourt",51023,"POINT (-79.883888888889 37.3825)"
73110,"NEW RIVER WTP","municipal","Montgomery",51121,"POINT (-80.519166666667 37.171111111111)"
73111,"NARUNA","municipal","Campbell",51031,"POINT (-79.022222222222 37.134722222222)"
73112,"Salem WTP","municipal","Salem",51775,"POINT (-80.071111111111 37.290277777778)"
73114,"PARKSLEY PLANT","manufacturing","Accomack",51001,"POINT (-75.667777777778 37.760277777778)"
73118,"T HUME DIXON JR","irrigation","Northampton",51131,"POINT (-99 -99)"
73120,"WESTERN BRANCH RESERVOIR","municipal","Suffolk",51800,"POINT (-76.581944444444 36.800555555556)"
73122,"PineVille Farms, Inc","irrigation","Rockingham",51165,"POINT (-78.886 38.074)"
73125,"Roanoke River Service Authority","municipal","Mecklenburg",51117,"POINT (-78.216321 36.62011)"
73126,"City of Norfolk's BLACKWATER PUMPING STATION","municipal","Isle of Wight",51093,"POINT (-76.884166666667 36.765833333333)"
73127,"CHESAPEAKE ENERGY CENTER","fossilpower","Chesapeake",51550,"POINT (-76.302777777778 36.770833333333)"
73128,"TRIPLE BRANCH FARM","irrigation","Halifax",51083,"POINT (-99 -99)"
73129,"LANDON R WYATT","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73130,"ROSELAWN","irrigation","Shenandoah",51171,"POINT (-78.635555555556 38.739166666667)"
73131,"MATHIAS BROTHERS INC","irrigation","Shenandoah",51171,"POINT (-99 -99)"
73132,"S & S GROWERS","irrigation","Page",51139,"POINT (-99 -99)"
73133,"The LYCRA Company Waynesboro Plant","manufacturing","Waynesboro",51820,"POINT (-78.893611111111 38.059722222222)"
73134,"AXTON SERVICE AREA","municipal","Henry",51089,"POINT (-79.712222222222 36.660277777778)"
73137,"Eller Farm","irrigation","Accomack",51001,"POINT (-75.728874 37.731918)"
73139,"LOCUST GROVE FARM","irrigation","King and Queen",51097,"POINT (-99 -99)"
73140,"Lake Monacan-Stoney Creek (Wintergreen)","commercial","Nelson",51125,"POINT (-78.870472 37.904458)"
73142,"South River Stone, Lynnwood Plant","mining","Rockingham",51165,"POINT (-78.7475 38.319722222222)"
73144,"C T STEPHENS","irrigation","Shenandoah",51171,"POINT (-99 -99)"
73145,"SCARLET MAPLE FARMS INC","irrigation","Rockingham",51165,"POINT (-99 -99)"
73146,"JAMES H. VANCE","irrigation","Shenandoah",51171,"POINT (-99 -99)"
73150,"CRATER JUVENILE DETENTION HOME","commercial","Prince George",51149,"POINT (-77.286111111111 37.175)"
73151,"CLARKSVILLE FINISHING PLANT","manufacturing","Mecklenburg",51117,"POINT (-78.536666666667 36.6075)"
73152,"Laurel Hill Trout Farm - Goshen","agriculture","Augusta",51015,"POINT (-79.38083889 38.03791944)"
73154,"DALE PLANT","mining","Chesterfield",51041,"POINT (-77.508333333333 37.354166666667)"
73156,"SPOTSWOOD COUNTRY CLUB","commercial","Rockingham",51165,"POINT (-78.838055555556 38.428888888889)"
73158,"WILLIAM BAIN FARMS @ Margie Hawkins ","irrigation","Dinwiddie",51053,"POINT (-77.584102 36.962487)"
73159,"HARRISONBURG WTP","municipal","Rockingham",51165,"POINT (-78.905555555556 38.459722222222)"
73160,"MELVIN D OWEN","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73163,"Laurel Hill Trout Farm- Middlebrook","agriculture","Augusta",51015,"POINT (-79.38083889 38.03791944)"
73165,"FLOWERDEW HUNDRED FARM","irrigation","Prince George",51149,"POINT (-99 -99)"
73166,"Hillsborough Farm","irrigation","Accomack",51001,"POINT (-75.840499 37.563948)"
73167,"KIRBY FARMS LLC","irrigation","Hanover",51085,"POINT (-77.222492 37.684468)"
73169,"YARDLEY FARM","irrigation","Accomack",51001,"POINT (-75.96314 37.37714)"
73170,"POSSUM POINT POWER STATION","fossilpower","Prince William",51153,"POINT (-77.2775 38.536944444444)"
73171,"CREWE PLANT","manufacturing","Nottoway",51135,"POINT (-78.126388888889 37.272222222222)"
73172,"FALLING CR/BEAVERDAM CR WTP","municipal","Bedford County",51019,"POINT (-79.836666666667 37.301666666667)"
73173,"Mappsville Facility & Labor Housing","irrigation","Accomack",51001,"POINT (-99 -99)"
73175,"W A ABBOTT JR","irrigation","Halifax",51083,"POINT (-99 -99)"
73176,"BEN J WYATT","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73177,"SILAS R CARTER","irrigation","Halifax",51083,"POINT (-99 -99)"
73178,"LESLIE MATTOX","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73180,"Heritage Oaks Golf Course, Harrisonburg Parks & Rec","commercial","Harrisonburg",51660,"POINT (-78.896666666667 38.446944444444)"
73182,"GEORGIA-PACIFIC BIG ISLAND WTP","manufacturing","Bedford County",51019,"POINT (-79.358055555556 37.535277777778)"
73183,"CHESTERFIELD POWER STATION","fossilpower","Chesterfield",51041,"POINT (-77.382777777778 37.383611111111)"
73185,"CLEVENGERS VILLAGE","municipal","Culpeper",51047,"POINT (-77.933055555556 38.666111111111)"
73186,"SWIFT CREEK WTP","municipal","Chesterfield",51041,"POINT (-77.644444444444 37.414166666667)"
73187,"WESTMORELAND STATE PARK","commercial","Westmoreland",51193,"POINT (-76.865277777778 38.170277777778)"
73188,"MAC BUTTERWORTH JR.","irrigation","Dinwiddie",51053,"POINT (-99 -99)"
73189,"C DAVID PALMER","irrigation","Halifax",51083,"POINT (-99 -99)"
73190,"Motley Dairy and Irrigation","agriculture","Pittsylvania",51143,"POINT (-79.27939 36.907812)"
73191,"THOMAS M BURTON","irrigation","Halifax",51083,"POINT (-99 -99)"
73195,"BROOKNEAL WTP","manufacturing","Campbell",51031,"POINT (-78.952777777778 37.050555555556)"
73198,"DOGUE PLANT","manufacturing","King George",51099,"POINT (-77.235277777778 38.203333333333)"
73199,"Viniterra Golf Course","commercial","New Kent",51127,"POINT (-77.07 37.52)"
73200,"Lakeside Park Club (Formerly Jefferson Lakeside)","commercial","Henrico",51087,"POINT (-77.472222222222 37.627777777778)"
73201,"CHATHAM PLANT","manufacturing","Pittsylvania",51143,"POINT (-79.413888888889 36.777777777778)"
73202,"LYNCHBURG PLANT","manufacturing","Lynchburg",51680,"POINT (-79.141666666667 37.421388888889)"
73204,"I KEITH WHITE","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73208,"ROBERT D WILLIAMS","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73210,"DAVID L ADAMS","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73211,"Hubbard Run Holdings, LLC","irrigation","Culpeper",51047,"POINT (-77.851388888889 38.52)"
73212,"WAYNESBORO SERVICE AREA","municipal","Waynesboro",51820,"POINT (-78.890277777778 38.065833333333)"
73214,"KINDERTON COUNTRY CLUB","commercial","Mecklenburg",51117,"POINT (-78.545833333333 36.608333333333)"
73215,"Henry Fitzgerald Farm","irrigation","Nelson",51125,"POINT (79.01 37.84)"
73216,"INTERNATIONAL COUNTRY CLUB","commercial","Fairfax County",51059,"POINT (-77.4 38.899166666667)"
73217,"DUNBAR SERVICE AREA","municipal","Wise",51195,"POINT (-82.746388888889 36.639444444444)"
73221,"CLINTON H HOLLOWAY","irrigation","Sussex",51183,"POINT (-77.560436 36.8642455)"
73223,"MOSES A CLEMENTS","irrigation","Greensville",51081,"POINT (-77.6190843 36.8244515)"
73225,"TREE NURSERY","irrigation","Loudoun",51107,"POINT (-77.621666666667 38.933333333333)"
73226,"SPENCERS COURT SERVICE AREA","municipal","Henry",51089,"POINT (-79.938888888889 36.643055555556)"
73227,"DUTCH ROAD FARMS","irrigation","Suffolk",51800,"POINT (-76.745 36.679722222222)"
73232,"Farms","irrigation","Pittsylvania",51143,"POINT (-79.461299 36.853584)"
73233,"Camden Farm","irrigation","Accomack",51001,"POINT (-75.846528 37.576185)"
73235,"WALLACE J WYATT","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73236,"KENNETH HUTCHERSON","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73237,"RUBEN W TUCKER","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73238,"RICHARD D WOOD","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73239,"J H WILLIAMS","irrigation","Pittsylvania",51143,"POINT (-79.47159 36.852217)"
73241,"OLIVER C MAYHEW JR","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73242,"KING GEORGE COUNTY WELL SYSTEM","municipal","King George",51099,"POINT (-77.051944444444 38.336111111111)"
73243,"I-85 DINWIDDIE REST AREA SB/NB","commercial","Dinwiddie",51053,"POINT (-77.541666666667 37.525)"
73245,"WASHINGTON (TOWN) SERVICE AREA","municipal","Rappahannock",51157,"POINT (-78.159722222222 38.7125)"
73246,"BOXELY MATERIALS MARTINSVILLE PLANT","mining","Henry",51089,"POINT (-79.939722222222 36.686388888889)"
73247,"FOXCROFT SCHOOL","commercial","Loudoun",51107,"POINT (-77.755 39.011388888889)"
73248,"CARVER HEIGHTS SERVICE AREA","municipal","Henry",51089,"POINT (-79.941388888889 36.671666666667)"
73250,"EMPORIA WTP","municipal","Emporia",51595,"POINT (-77.558333333333 36.7)"
73251,"RUSTBURG CORRECTIONAL UNIT #9","commercial","Campbell",51031,"POINT (-79.069444444444 37.2675)"
73252,"L TOM LEWIS","irrigation","Northampton",51131,"POINT (-99 -99)"
73254,"LUNGA RESERVOIR INTAKE","commercial","Stafford",51179,"POINT (-77.463888888889 38.522222222222)"
73255,"RIDGEWAY PLANT","manufacturing","Henry",51089,"POINT (-79.853611111111 36.626388888889)"
73256,"ROUND HILL SERVICE AREA","municipal","Loudoun",51107,"POINT (-77.768888888889 39.132777777778)"
73258,"Shimokin Farm  R. Randolph & Sons","irrigation","New Kent",51127,"POINT (-77.103398 37.616333)"
73259,"WCSA MIDDLE FORK HOLSTON WTP","municipal","Washington",51191,"POINT (-81.893333333333 36.693055555556)"
73261,"RIVERSIDE FARM","irrigation","Charles City",51036,"POINT (-76.9314283 37.24497)"
73262,"CASTLE FARM INC","irrigation","New Kent",51127,"POINT (-77.075112 37.594845)"
73263,"FROG HOLLOW SOD FARM INC","irrigation","King William",51101,"POINT (-99 -99)"
73264,"ROLLING ACRES I","municipal","Greensville",51081,"POINT (-99 99)"
73265,"EVELYN F PELL","irrigation","Chesterfield",51041,""
73269,"Farm #7","agriculture","Page",51139,"POINT (-78.50560278 38.62208056)"
73274,"GREEN ACRES FARMS","irrigation","Accomack",51001,"POINT (-75.5814214 37.9259897)"
73276,"LK HOLIDAY ESTATE (THE SUMMIT)","municipal","Frederick",51069,"POINT (-78.319444444444 39.309722222222)"
73278,"ROLLING ACRES II","municipal","Greensville",51081,"POINT (-99 99)"
73279,"MCKENNEY ACRES","municipal","Sussex",51183,"POINT (-77.7230492 36.9868155)"
73280,"JOHN N MILLS & SONS - 3 FARMS","irrigation","King William",51101,"POINT (-77.32292 37.766467)"
73281,"ARBUCKLE FARMS","irrigation","Accomack",51001,"POINT (-75.523946 37.858236)"
73284,"Seybolt Farm","irrigation","Accomack",51001,"POINT (-75.467014 37.955156)"
73286,"STANLEY OWENS","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73287,"RIDGEWAY FARM LLC","irrigation","Charlotte",51037,"POINT (-78.766849 36.99066)"
73288,"ROBY JANNEY","irrigation","Rockingham",51165,"POINT (-78.689348 38.621677)"
73289,"Rock Springs","municipal","King William",51101,"POINT (-77.24481 37.791841)"
73291,"WILLIAM BAIN FARMS @ Poarch Farm","irrigation","Dinwiddie",51053,"POINT (-77.57083 36.961555)"
73292,"RURAL RETREAT SERVICE AREA","municipal","Wythe",51197,"POINT (-81.275833333333 36.893611111111)"
73294,"CLAYPOOL HILL WTP","municipal","Tazewell",51185,"POINT (-81.790277777778 37.026388888889)"
73295,"VARINA ON THE JAMES","irrigation","Henrico",51087,"POINT (-77.350808 37.380022)"
73298,"VISTA POINTE","municipal","Pittsylvania",51143,"POINT (-79.588055555556 37.036944444444)"
73299,"THE RIVER COURSE","commercial","Pulaski",51155,"POINT (-80.539444444444 37.154166666667)"
73300,"Homestead Golf Irrigation & Snow Production","commercial","Bath",51017,"POINT (-79.87 37.955833333333)"
73303,"CLOVER SERVICE AREA","municipal","Halifax",51083,"POINT (-78.734722222222 36.831944444444)"
73305,"FOREST LODGE SERVICE AREA","municipal","Albemarle",51003,"POINT (-78.513888888889 38.002777777778)"
73306,"Lhoist North America Kimballton Plant 1","mining","Giles",51071,"POINT (-80.659444444444 37.371944444444)"
73309,"Copper Cove Golf Club","commercial","Franklin County",51067,"POINT (-79.720833333333 37.133333333333)"
73310,"CHATHAM WTP","municipal","Pittsylvania",51143,"POINT (-79.413888888889 36.822222222222)"
73311,"WALLACE SCHAFER","irrigation","Powhatan",51145,"POINT (-99 -99)"
73313,"HASSELL BONDS","irrigation","Carroll",51035,"POINT (-99 -99)"
73314,"Jackson Feild Home - GCWSA","municipal","Greensville",51081,"POINT (-77.51 36.686111111111)"
73315,"Lhoist North America Kimballton Plant 1","mining","Giles",51071,"POINT (-80.659722222222 37.377777777778)"
73317,"AUGUSTA FORESTRY CENTER","irrigation","Augusta",51015,"POINT (-78.851559 38.171455)"
73319,"BRYCE MOUNTAIN SERVICE AREA","municipal","Shenandoah",51171,"POINT (-78.761111111111 38.820833333333)"
73320,"Mayhew Farm","irrigation","Prince William",51153,"POINT (-77.616 38.712)"
73321,"The Country Club of Virginia-James River","commercial","Henrico",51087,"POINT (-77.613544 37.573857)"
73322,"CHEATHAM ANNEX NAVY SUPPLY CTR","municipal","York",51199,"POINT (-76.619444444444 37.279722222222)"
73323,"SPRINGFIELD TERRACE SERV AREA","municipal","York",51199,"POINT (-76.6625 37.275)"
73324,"THREE SPRINGS SERVICE AREA","municipal","Rockingham",51165,"POINT (-78.733333333333 38.370833333333)"
73325,"RED WING LAKE GOLF COURSE","commercial","Virginia Beach",51810,"POINT (-76.979166666667 36.791666666667)"
73328,"MOUNT ZION SERVICE AREA","municipal","Pittsylvania",51143,"POINT (-79.281666666667 36.595277777778)"
73332,"DUPONT MARTINSVILLE PLANT","manufacturing","Henry",51089,"POINT (-79.893611111111 36.663055555556)"
73333,"SALEM SERVICE AREA","municipal","Salem",51775,"POINT (-80.061944444445 37.293055555556)"
73337,"GOLDEN HORSESHOE FARM","irrigation","Rockingham",51165,"POINT (-99 -99)"
73338,"D MAYNARD REYNOLDS","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73339,"FAIRWAY ACRES SERVICE AREA","municipal","Henry",51089,"POINT (-80.090277777778 36.752777777778)"
73342,"BROOKWOODS GOLF CLUB","commercial","New Kent",51127,"POINT (-77.171111111111 37.507222222222)"
73343,"ACCOMACK COUNTY SCHOOL","commercial","Accomack",51001,"POINT (-75.502777777778 37.924722222222)"
73344,"LARRY D ROACH","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73345,"RICHARD D TURNER","irrigation","Pittsylvania",51143,"POINT (-99 -99)"
73346,"MUDDY CREEK","irrigation","Rockingham",51165,"POINT (-78.9836111 38.445555)"
73350,"NORTH WALES FARM","irrigation","Caroline",51033,"POINT (-77.393611 37.7841666667)"
73351,"TRADITION GOLF CLUB AT STONEHOUSE, LLC","commercial","James City",51095,"POINT (-76.816795 37.449958)"
73354,"CRITZER FAMILY FARM","irrigation","Nelson",51125,"POINT (-78.824022 38.017076)"
73358,"REAMFORD FARMS","irrigation","Amelia",51007,"POINT (-77.9788923 37.2589081)"
73359,"LEESVILLE HYDROPOWER PLANT","hydropower","Campbell",51031,"POINT (-79.4025 37.092777777778)"
73360,"CLIFTON FORGE MOUNTAIN SA","municipal","Bath",51017,"POINT (-79.853333333333 37.975)"
73362,"BERKELEY READY MIX PLANT","manufacturing","Norfolk",51710,"POINT (-76.29 36.8375)"
73364,"ASHWOOD SERVICE AREA","municipal","Bath",51017,"POINT (-79.853333333333 37.975)"
73365,"SHENMONT FARMS","irrigation","Rockingham",51165,"POINT (-79.059387 38.449634)"
73366,"AQUA VIRGINIA INC","municipal","Louisa",51109,"POINT (-99 99)"
73373,"CONCORD VILLAGE SERVICE AREA","municipal","Campbell",51031,"POINT (-78.978611111111 37.325)"
73375,"OAKLAND SERVICE AREA","municipal","Suffolk",51800,"POINT (-76.590277777778 36.852222222222)"
73378,"LONGVIEW-WALL ST. SERVICE AREA","municipal","Henry",51089,"POINT (-79.9975 36.753611111111)"
73379,"KENBRIDGE WTP","municipal","Lunenburg",51111,"POINT (-78.146666666667 36.938611111111)"
73380,"Household, Barn and Lawn","irrigation","Stafford",51179,"POINT (-77.513816 38.406975)"
73381,"Emulsion Plant","manufacturing","Roanoke City",51770,"POINT (-79.986666666667 37.271388888889)"
73382,"STAFFORD PLT","manufacturing","Stafford",51179,"POINT (-77.420833333333 38.420833333333)"
73383,"Parks Farm 2","irrigation","Accomack",51001,"POINT (-75.716882 37.721063)"
73385,"CHESAPEAKE PLANT","manufacturing","Chesapeake",51550,"POINT (-76.249444444445 36.826944444444)"
73387,"HILLWOOD MOBILE HOME PARK","municipal","Prince William",51153,"POINT (-77.623333333333 38.794444444444)"
73389,"LILLY GARDENS SANITARY DIST","municipal","Rockingham",51165,"POINT (-79.015833333333 38.463055555556)"
73390,"Southern Belle  Turf Farms","irrigation","Southampton",51175,"POINT (-76.873888888889 36.824166666667)"
73391,"Poplar Grove Golf Course","commercial","Amherst",51009,"POINT (-79.052940616785 37.548962441074)"
73392,"Stoney Creek Village","municipal","Nelson",51125,"POINT (-78.886676 37.896268)"
73393,"HENRY COUNTY RT 220 SOUTH","municipal","Henry",51089,"POINT (-79.92 36.656944444444)"
73394,"CHATMOSS COUNTRY CLUB","commercial","Henry",51089,"POINT (-79.806944444444 36.663888888889)"
73395,"RADFORD WTP","municipal","Radford",51750,"POINT (-80.593611111111 37.110277777778)"
73396,"Thomastown/Bacova Junction Service Area","municipal","Bath",51017,"POINT (-99 -99)"
73397,"RT 58 EAST WATER SYSTEM","municipal","Henry",51089,"POINT (-79.798611111111 36.673611111111)"
73398,"DAVIS & SONS INC.","irrigation","Southampton",51175,"POINT (-77.079789718455 36.776681133909)"
73400,"BUCK HYDROPOWER PLANT","hydropower","Carroll",51035,"POINT (-80.938888888889 36.808055555556)"
73401,"RAVEN-DORAN WTP","municipal","Tazewell",51185,"POINT (-81.822222222222 37.088055555556)"
73405,"LACROSSE SERVICE AREA","municipal","Mecklenburg",51117,"POINT (-78.094444444444 36.695833333333)"
73406,"RIVERVILLE MILL WTP","manufacturing","Amherst",51009,"POINT (-78.898333333333 37.5175)"
73407,"PREPARATION PLANT","mining","Buchanan",51027,"POINT (-81.999166666667 37.18)"
73408,"DAMASCUS PLANT","manufacturing","Washington",51191,"POINT (-81.790277777778 36.627777777778)"
73409,"MONTEBELLO FISH STATION","agriculture","Nelson",51125,"POINT (-79.13 37.844166666667)"
73410,"Strange's Greenhouse 4201 Creighton Road","irrigation","Henrico",51087,"POINT (-77.357 37.567)"
73411,"Grazeland Dairy","irrigation","Rockingham",51165,"POINT (-79.038439 38.427422)"
73412,"Merck & Co Elkton Plant","manufacturing","Rockingham",51165,"POINT (-78.65 38.384722222222)"
73414,"SAUNDERS BROTHERS, INC.","irrigation","Nelson",51125,"POINT (-78.9818434 37.7156199)"
73415,"WILDWOOD FOREST","municipal","Culpeper",51047,"POINT (-77.953611111111 38.670277777778)"
73419,"STANLEYTOWN PLANT","manufacturing","Henry",51089,"POINT (-79.5125 36.741666666667)"
73422,"WOOLWINE PLANT","manufacturing","Patrick",51141,"POINT (-80.263055555556 36.774444444444)"
73423,"HILLSBOROUGH FARM INC","irrigation","King and Queen",51097,"POINT (-76.980605 37.715167)"
73424,"FALLING RIVER COUNTRY CLUB","commercial","Appomattox",51011,"POINT (-78.876388888889 37.334722222222)"
73426,"WILLIAM BAIN FARMS @Winfield Farm","irrigation","Dinwiddie",51053,"POINT (-77.508203 36.9434759)"
73428,"SPRINGFIELD GOLF & COUNTRY CLB","commercial","Fairfax County",51059,"POINT (-77.235555555556 38.763888888889)"
73430,"HILLVIEW FARM INC","irrigation","Rockingham",51165,"POINT (-79.012372 38.36196)"
73431,"GALEN L WENGER","irrigation","Rockingham",51165,"POINT (-78.9391 38.406433)"
73432,"Iron Gate Warehouse","manufacturing","Alleghany",51005,"POINT (-79.787222222222 37.797777777778)"
73435,"AZALEA ACRES","irrigation","Fairfax County",51059,"POINT (-99 -99)"
73436,"HILLCREST SERVICE AREA","municipal","Carroll",51035,"POINT (-80.734889 36.767823)"
73437,"Hartland College","commercial","Madison",51113,"POINT (-78.0992661 38.3333918)"
73438,"HORSESHOE FARM","irrigation","Hanover",51085,"POINT (-77.1338888889 37.6627777778)"
73440,"BENNIES RENTALS SHOP & MOTEL","commercial","Campbell",51031,"POINT (-79.1125 37.358333333333)"
73441,"Brambleton Golf Course","commercial","Loudoun",51107,"POINT (-77.542122 38.985396)"
